METHOD - 1 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,,,,,
IPUEN33611T300000000,29-08-2021,29-08-2021,Value of Production for Manufacturing: Automobile and Light Duty Motor Vehicle Manufacturing (NAICS 33611) in the United States,01-01-1987,01-01-2019,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,07-06-2021 22:52,1,1,Value of production is the output of an industry or sector at a given level of aggregation that only reflects deliveries outside of that industry or sector. (Also known as sectoral output.),,,,,
IPUEN33631T300000000,29-08-2021,29-08-2021,Value of Production for Manufacturing: Motor Vehicle Gasoline Engines and Engine Parts (NAICS 33631) in the United States,01-01-1987,01-01-2019,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,07-06-2021 22:50,1,1,Value of production is the output of an industry or sector at a given level of aggregation that only reflects deliveries outside of that industry or sector. (Also known as sectoral output.),,,,,
IPUEN336310T300000000,29-08-2021,29-08-2021,Value of Production for Manufacturing: Motor Vehicle Gasoline Engines and Engine Parts (NAICS 336310) in the United States,01-01-1987,01-01-2019,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,07-06-2021 22:51,1,1,Value of production is the output of an industry or sector at a given level of aggregation that only reflects deliveries outside of that industry or sector. (Also known as sectoral output.),,,,,
RIWG336112S,29-08-2021,29-08-2021,Relative Importance Weights (Contribution to the Total Industrial Production Index): Manufacturing: Durable Goods: Light Truck and Utility Vehicle (NAICS = 336112),01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

NAICS = 336112

Source Code: RIW.G336112.S",,,,,
RIWX5VHT2S,29-08-2021,29-08-2021,Relative Importance Weights (Contribution to the Total Industrial Production Index): Total Excluding Selected High-Tech. and Motor Vehicles & Parts,01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:19,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

Source Code: RIW.X5VHT2.S",,,,,
RIWG3362S,29-08-2021,29-08-2021,Relative Importance Weights (Contribution to the Total Industrial Production Index): Manufacturing: Durable Goods: Motor Vehicle Body and Trailer (NAICS = 3362),01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

NAICS = 3362

Source Code: RIW.G3362.S",,,,,
RIWX4HTMVS,29-08-2021,29-08-2021,Relative Importance Weights (Contribution to the Total Industrial Production Index): Manufacturing Excluding Hi-Tech and Motor Vehicles & Parts,01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:19,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

Source Code: RIW.X4HTMV.S",,,,,
RIWB51111S,29-08-2021,29-08-2021,"Relative Importance Weights (Contribution to the Total Industrial Production Index): Durable Consumer Goods: Autos and Trucks, Consumer",01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

Source Code: RIW.B51111.S",,,,,
RIWB51112S,29-08-2021,29-08-2021,Relative Importance Weights (Contribution to the Total Industrial Production Index): Durable Consumer Goods: Auto Parts and Allied Goods,01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

Source Code: RIW.B51112.S",,,,,
IPX5VHT2S,29-08-2021,29-08-2021,Industrial Production: Total Excluding Selected High-Tech. and Motor Vehicles & Parts,01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X5VHT2.S",,,,,
IPX5VHT2N,29-08-2021,29-08-2021,Industrial Production: Total Excluding Selected High-Tech. and Motor Vehicles & Parts,01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X5VHT2.N",,,,,
IPX5VHT2SQ,29-08-2021,29-08-2021,Industrial Production: Total Excluding Selected High-Tech. and Motor Vehicles & Parts,01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X5VHT2.S",,,,,
IPX5VHT2NQ,29-08-2021,29-08-2021,Industrial Production: Total Excluding Selected High-Tech. and Motor Vehicles & Parts,01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X5VHT2.N",,,,,
IPN32411GS,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Non-Durable Goods: Automotive Gasoline (NAICS = 32411pt.),01-01-1972,01-05-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 32411pt.

Source Code: IP.N32411G.S",,,,,
IPN32411GSQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Non-Durable Goods: Automotive Gasoline (NAICS = 32411pt.),01-01-1972,01-01-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,15-06-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 32411pt.

Source Code: IP.N32411G.S",,,,,
IPN32411GN,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Non-Durable Goods: Automotive Gasoline (NAICS = 32411pt.),01-01-1972,01-05-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 32411pt.

Source Code: IP.N32411G.N",,,,,
IPN32411GNQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Non-Durable Goods: Automotive Gasoline (NAICS = 32411pt.),01-01-1972,01-01-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,15-06-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 32411pt.

Source Code: IP.N32411G.N",,,,,
IPUEN33635T300000000,29-08-2021,29-08-2021,Value of Production for Manufacturing: Motor Vehicle Transmission and Power Train Parts Manufacturing (NAICS 33635) in the United States,01-01-1987,01-01-2019,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,07-06-2021 22:52,1,1,Value of production is the output of an industry or sector at a given level of aggregation that only reflects deliveries outside of that industry or sector. (Also known as sectoral output.),,,,,
IPUEN336350T300000000,29-08-2021,29-08-2021,Value of Production for Manufacturing: Motor Vehicle Transmission and Power Train Parts Manufacturing (NAICS 336350) in the United States,01-01-1987,01-01-2019,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,07-06-2021 22:50,1,1,Value of production is the output of an industry or sector at a given level of aggregation that only reflects deliveries outside of that industry or sector. (Also known as sectoral output.),,,,,
RIWX53EHVS,29-08-2021,29-08-2021,"Relative Importance Weights (Contribution to the Total Industrial Production Index): Materials Excluding Energy, Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors",01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:19,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

Source Code: RIW.X53EHV.S",,,,,
RIWG33611S,29-08-2021,29-08-2021,Relative Importance Weights (Contribution to the Total Industrial Production Index): Manufacturing: Durable Goods: Automobile and Light Duty Motor Vehicle (NAICS = 33611),01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

NAICS = 33611

Source Code: RIW.G33611.S",,,,,
IPX53EHVS,29-08-2021,29-08-2021,"Industrial Production: Materials Excluding Energy, Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors",01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:19,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X53EHV.S",,,,,
IPX53EHVN,29-08-2021,29-08-2021,"Industrial Production: Materials Excluding Energy, Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors",01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X53EHV.N",,,,,
IPX53EHVNQ,29-08-2021,29-08-2021,"Industrial Production: Materials Excluding Energy, Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors",01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X53EHV.N",,,,,
RIWX52HTVS,29-08-2021,29-08-2021,Relative Importance Weights (Contribution to the Total Industrial Production Index): Business Equipment Excluding Hi-Tech and Motor Vehicles and Parts,01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:19,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

Source Code: RIW.X52HTV.S",,,,,
RIWX50EHVS,29-08-2021,29-08-2021,"Relative Importance Weights (Contribution to the Total Industrial Production Index): Non-Energy Excluding Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors",01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:19,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

Source Code: RIW.X50EHV.S",,,,,
IPX52HTVS,29-08-2021,29-08-2021,Industrial Production: Business Equipment Excluding Hi-Tech and Motor Vehicles and Parts,01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X52HTV.S",,,,,
IPX52HTVN,29-08-2021,29-08-2021,Industrial Production: Business Equipment Excluding Hi-Tech and Motor Vehicles and Parts,01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X52HTV.N",,,,,
IPX52HTVSQ,29-08-2021,29-08-2021,Industrial Production: Business Equipment Excluding Hi-Tech and Motor Vehicles and Parts,01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X52HTV.S",,,,,
IPX50EHVS,29-08-2021,29-08-2021,"Industrial Production: Non-Energy Excluding Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors",01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X50EHV.S",,,,,
IPX50EHVN,29-08-2021,29-08-2021,"Industrial Production: Non-Energy Excluding Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors",01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X50EHV.N",,,,,
IPX50EHVSQ,29-08-2021,29-08-2021,"Industrial Production: Non-Energy Excluding Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors",01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X50EHV.S",,,,,
RIWX51HVES,29-08-2021,29-08-2021,"Relative Importance Weights (Contribution to the Total Industrial Production Index): Consumer Goods Excluding Hi-Tech, Motor Vehicles & Parts, and Energy",01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:19,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

Source Code: RIW.X51HVE.S",,,,,
IPX51HVES,29-08-2021,29-08-2021,"Industrial Production: Consumer Goods Excluding Hi-Tech, Motor Vehicles & Parts, and Energy",01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X51HVE.S",,,,,
IPX51HVEN,29-08-2021,29-08-2021,"Industrial Production: Consumer Goods Excluding Hi-Tech, Motor Vehicles & Parts, and Energy",01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X51HVE.N",,,,,
IPX51HVENQ,29-08-2021,29-08-2021,"Industrial Production: Consumer Goods Excluding Hi-Tech, Motor Vehicles & Parts, and Energy",01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X51HVE.N",,,,,
IPX51HVESQ,29-08-2021,29-08-2021,"Industrial Production: Consumer Goods Excluding Hi-Tech, Motor Vehicles & Parts, and Energy",01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,1,1,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X51HVE.S",,,,,
RIWX5421TS,29-08-2021,29-08-2021,"Relative Importance Weights (Contribution to the Total Industrial Production Index): Business Supplies Excluding Energy, Motor Vehicles & Parts, and Selected High-Tech Industries",01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:19,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

Source Code: RIW.X5421T.S",,,,,
IPUEN33635T301000000,29-08-2021,29-08-2021,Value of Production for Manufacturing: Motor Vehicle Transmission and Power Train Parts Manufacturing (NAICS 33635) in the United States,01-01-1988,01-01-2019,Annual,A,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,07-06-2021 22:52,1,1,Value of production is the output of an industry or sector at a given level of aggregation that only reflects deliveries outside of that industry or sector. (Also known as sectoral output.),,,,,
RIWG3361T3S,29-08-2021,29-08-2021,Relative Importance Weights (Contribution to the Total Industrial Production Index): Manufacturing: Durable Goods: Motor Vehicles and Parts (NAICS = 3361-3),01-01-1972,01-07-2021,Monthly,M,Percent,%,Seasonally Adjusted,SA,17-08-2021 08:20,1,1,"The IP proportions (typically shown in the first column of the relevant tables in the G.17 release) are estimates of the industries' relative contributions to overall growth in the following year. For example, the relative importance weight of the motor vehicles and parts industry is about 6 percent. If output in this industry increased 10 percent in a month, then this gain would boost growth in total IP by 6/10 percentage point (0.06 x 10% = 0.6%).

NAICS = 3361-3

Source Code: RIW.G3361T3.S",,,,,
IPUGN4231T300000000,29-08-2021,29-08-2021,Value of Production for Wholesale Trade: Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers (NAICS 4231) in the United States,01-01-1987,01-01-2020,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,29-07-2021 09:11,1,1,Value of production is the output of an industry or sector at a given level of aggregation that only reflects deliveries outside of that industry or sector. (Also known as sectoral output.),,,,,
SMU26000003133630030A,29-08-2021,29-08-2021,Average Weekly Earnings of Production Employees: Durable Goods: Motor Vehicle Parts Manufacturing in Michigan,01-01-2003,01-01-2020,Annual,A,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,15-03-2021 17:34,1,1,NA,,,,,
SMU26000003133630008A,29-08-2021,29-08-2021,Average Hourly Earnings of Production Employees: Durable Goods: Motor Vehicle Parts Manufacturing in Michigan,01-01-2003,01-01-2020,Annual,A,Dollars per Hour,$ per Hour,Not Seasonally Adjusted,NSA,15-03-2021 17:34,1,1,NA,,,,,
SMU26000003133630007A,29-08-2021,29-08-2021,Average Weekly Hours of Production Employees: Durable Goods: Motor Vehicle Parts Manufacturing in Michigan,01-01-2003,01-01-2020,Annual,A,Hours per Week,Hours per Week,Not Seasonally Adjusted,NSA,15-03-2021 17:34,1,1,NA,,,,,
SMU26000003133630008,29-08-2021,29-08-2021,Average Hourly Earnings of Production Employees: Manufacturing: Durable Goods: Motor Vehicle Parts Manufacturing in Michigan,01-01-2003,01-07-2021,Monthly,M,Dollars per Hour,$ per Hour,Not Seasonally Adjusted,NSA,20-08-2021 14:36,1,1,NA,,,,,
SMU26000003133630008SA,29-08-2021,29-08-2021,Average Hourly Earnings of Production Employees: Manufacturing: Durable Goods: Motor Vehicle Parts Manufacturing in Michigan,01-01-2003,01-07-2021,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,20-08-2021 14:58,1,1,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/SMU26000003133630008).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.",,,,,
IPUUN8111T300000000,29-08-2021,29-08-2021,Value of Production for Other Services (Except Public Administration): Automotive Repair and Maintenance (NAICS 8111) in the United States,01-01-1987,01-01-2020,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,11-06-2021 09:10,1,1,Value of production is the output of an industry or sector at a given level of aggregation that only reflects deliveries outside of that industry or sector. (Also known as sectoral output.),,,,,
SMU26000003133630030SA,29-08-2021,29-08-2021,Average Weekly Earnings of Production Employees: Manufacturing: Durable Goods: Motor Vehicle Parts Manufacturing in Michigan,01-01-2003,01-07-2021,Monthly,M,Dollars per Week,$ per Week,Seasonally Adjusted,SA,20-08-2021 16:21,1,1,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/SMU26000003133630030).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.",,,,,
SMU26000003133630030,29-08-2021,29-08-2021,Average Weekly Earnings of Production Employees: Manufacturing: Durable Goods: Motor Vehicle Parts Manufacturing in Michigan,01-01-2003,01-07-2021,Monthly,M,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,20-08-2021 15:09,1,1,NA,,,,,
SMU26000003133630007SA,29-08-2021,29-08-2021,Average Weekly Hours of Production Employees: Manufacturing: Durable Goods: Motor Vehicle Parts Manufacturing in Michigan,01-01-2003,01-07-2021,Monthly,M,Hours per Week,Hours per Week,Seasonally Adjusted,SA,20-08-2021 16:21,1,1,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/SMU26000003133630007).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.",,,,,
SMU26000003133630007,29-08-2021,29-08-2021,Average Weekly Hours of Production Employees: Manufacturing: Durable Goods: Motor Vehicle Parts Manufacturing in Michigan,01-01-2003,01-07-2021,Monthly,M,Hours per Week,Hours per Week,Not Seasonally Adjusted,NSA,20-08-2021 15:09,1,1,NA,,,,,
B707RL1Q225SBEA,29-08-2021,29-08-2021,Real Motor Vehicle Output: Final Sales of Domestic Product: Imports: Trucks,01-04-1967,01-04-2021,Quarterly,Q,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:54,1,1,"BEA Account Code: B707RL

For more information about this series, please see http://www.bea.gov/national/.",,,,,
B707RL1A225NBEA,29-08-2021,29-08-2021,Real Motor Vehicle Output: Final Sales of Domestic Product: Imports: Trucks,01-01-1968,01-01-2020,Annual,A,Percent Change from Preceding Period,% Chg. from Preceding Period,Not Seasonally Adjusted,NSA,29-07-2021 07:51,1,1,"BEA Account Code: B707RL

For more information about this series, please see http://www.bea.gov/national/.",,,,,
AB60RL1Q225SBEA,29-08-2021,29-08-2021,Real Motor Vehicle Output: Final Sales of Domestic Product,01-04-1967,01-04-2021,Quarterly,Q,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:55,1,1,"BEA Account Code: AB60RL

For more information about this series, please see http://www.bea.gov/national/.",,,,,
AB60RL1A225NBEA,29-08-2021,29-08-2021,Real Motor Vehicle Output: Final Sales of Domestic Product,01-01-1968,01-01-2020,Annual,A,Percent Change from Preceding Period,% Chg. from Preceding Period,Not Seasonally Adjusted,NSA,29-07-2021 07:52,1,1,"BEA Account Code: AB60RL

For more information about this series, please see http://www.bea.gov/national/.",,,,,
AB70RL1Q225SBEA,29-08-2021,29-08-2021,Real Motor Vehicle Output: Final Sales of Domestic Product: Imports,01-04-1967,01-04-2021,Quarterly,Q,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:55,1,1,"BEA Account Code: AB70RL

For more information about this series, please see http://www.bea.gov/national/.",,,,,
B143RL1Q225SBEA,29-08-2021,29-08-2021,Real Motor Vehicle Output: Final Sales of Domestic Product: Imports: Autos,01-04-1947,01-04-2021,Quarterly,Q,Percent Change from Preceding Period,% Chg. from Preceding Period,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:55,1,1,"BEA Account Code: B143RL

For more information about this series, please see http://www.bea.gov/national/.",,,,,
